timestamp,model_flagged,user_agrees,timestamp_feedback,load_value
2001-12-31 19:00:00,True,True,2026-04-11 21:05:46.914296,
2001-12-31 19:00:00,True,False,2026-04-11 21:06:20.905308,
2001-12-31 19:00:00,True,True,2026-04-13 00:51:11.397161,37570.0
2001-12-31 19:00:00,True,True,2026-04-13 01:10:57.727176,37570.0
2001-12-31 19:00:00,True,True,2026-04-13 01:22:08.252237,37570.0
2001-12-31 19:00:00,True,True,2026-04-14 14:14:57.328558,37570.0
2001-12-31 19:00:00,True,True,2026-04-14 14:15:06.323894,37570.0
2001-12-31 19:00:00,True,True,2026-04-14 15:12:02.707471,37570.0
2001-12-31 19:00:00,True,True,2026-04-15 15:06:29.432739,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 00:26:58.597265,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 00:37:24.631950,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 00:54:30.235830,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 16:29:28.168370,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 18:26:57.899811,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 19:03:41.294733,37570.0
2001-12-31 19:00:00,True,True,2026-04-16 19:07:52.731220,37570.0
2001-12-31 19:00:00,True,True,2026-05-10 13:14:07.596697,37570.0
2001-12-31 19:00:00,True,True,2026-06-21 01:44:12.845465,37570.0
